model,train set images,pretrained,pretrained dataset,Trained layers,epochs,batch size,learning rate,optimizer,training time (seconds),train accuracy,train loss,validation accuracy,validation loss,test accuracy,normalization
xception,8348,True,Imagenet,All,30,50,0.001,ADAM,3862.0,0.9884,0.2535,1.0,0.2849,0.98657,
resnet50,8348,True,Imagenet,All,30,50,0.001,ADAM,1001.0,0.9777,0.3121,1.0,0.3751,0.981405,
opticnet,8348,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,5955.0,0.9999,0.000517,1.0,2.15e-05,0.994835,
xception,20871,True,Imagenet,All,30,50,0.001,ADAM,9595.0,0.9912,0.0703,1.0,0.0494,0.987603,
resnet50,20871,True,Imagenet,All,30,50,0.001,ADAM,2500.0,0.9896,0.0792,0.9688,0.1396,0.992769,
opticnet,20871,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,14733.0,0.9985,0.002,0.9688,0.0281,0.992769,
xception,33393,True,Imagenet,All,30,50,0.001,ADAM,15333.0,0.9939,0.042,0.9688,0.153,0.989669,
resnet50,33393,True,Imagenet,All,30,50,0.001,ADAM,4000.0,0.9946,0.0357,0.9688,0.1825,0.988636,
opticnet,33393,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,23646.0,0.9989,0.0016,0.9688,0.1843,0.995868,
xception,834,True,Imagenet,All,30,50,0.001,ADAM,397.0,0.7642,1.1867,0.5,1.2875,0.5,
resnet50,834,True,Imagenet,All,30,50,0.001,ADAM,103.0,0.9949,1.0972,0.9688,1.1638,0.966942,
opticnet,834,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,619.0,1.0,0.00030903,0.9688,0.0275,0.984504,
xception,2087,True,Imagenet,All,30,50,0.001,ADAM,970.0,0.7688,0.9701,0.5,1.135,0.5,
resnet50,2087,True,Imagenet,All,30,50,0.001,ADAM,251.0,0.9947,0.8495,0.9688,0.9547,0.974174,
opticnet,2087,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,1500.0,1.0,0.00021614,1.0,0.0062,0.987603,
xception,4174,True,Imagenet,All,30,50,0.001,ADAM,1911.0,0.8662,0.7109,0.75,0.8965,0.743802,
resnet50,4174,True,Imagenet,All,30,50,0.001,ADAM,522.0,0.9961,0.5482,1.0,0.6532,0.985537,
opticnet,4174,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,2979.0,1.0,4.27e-05,1.0,3.87e-06,0.993802,
xception,6261,True,Imagenet,All,30,50,0.001,ADAM,2918.0,0.8644,0.5768,0.75,0.7586,0.740702,
resnet50,6261,True,Imagenet,All,30,50,0.001,ADAM,760.0,0.9941,0.3659,1.0,0.4484,0.981405,
opticnet,6261,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,4447.0,0.9998,0.00033674,1.0,7.75e-07,0.987603,
xception,7513,True,Imagenet,All,30,50,0.001,ADAM,3609.0,0.9923,0.2848,1.0,0.3369,0.993802,
resnet50,7513,True,Imagenet,All,30,50,0.001,ADAM,910.0,0.996,0.2794,1.0,0.3494,0.980372,
opticnet,7513,True,"OCT2017,Srinivasan2014",All,30,50,0.001,ADAM,5334.0,0.9996,0.00054821,1.0,0.0001103,0.989669,
xception,834,False,,All,30,50,0.001,ADAM,409.0,0.7586,1.1372,0.25,1.3998,0.25,
resnet50,834,False,,All,30,50,0.001,ADAM,104.0,0.7249,1.2098,0.5,1.353,0.490702,
opticnet,834,False,,All,30,50,0.001,ADAM,626.0,0.9933,0.051,0.5625,1.6493,0.622934,
xception,2087,False,,All,30,50,0.001,ADAM,970.0,0.8594,0.9007,0.6562,1.1787,0.676653,
resnet50,2087,False,,All,30,50,0.001,ADAM,252.0,0.7418,1.0223,0.5,1.3231,0.490702,
opticnet,2087,False,,All,30,50,0.001,ADAM,1492.0,0.9963,0.0114,0.8125,0.8462,0.838843,
xception,4174,False,,All,30,50,0.001,ADAM,1942.0,0.8738,0.6256,0.75,0.7697,0.742769,
resnet50,4174,False,,All,30,50,0.001,ADAM,523.0,0.461,1.2321,0.25,1.5402,0.25,
opticnet,4174,False,,All,30,50,0.001,ADAM,2989.0,0.9999,0.0019,0.9688,0.4129,0.921488,
xception,6261,False,,All,30,50,0.001,ADAM,2936.0,0.8833,0.5017,0.75,0.6985,0.739669,
resnet50,6261,False,,All,30,50,0.001,ADAM,761.0,0.8123,0.6873,0.7188,0.978,0.703512,
opticnet,6261,False,,All,30,50,0.001,ADAM,4458.0,0.9999,0.0017,1.0,0.0071,0.941116,
xception,7513,False,,All,30,50,0.001,ADAM,3516.0,0.8859,0.4541,0.75,0.7385,0.732438,
resnet50,7513,False,,All,30,50,0.001,ADAM,912.0,0.8257,0.6576,0.7188,0.9862,0.703512,
opticnet,7513,False,,All,30,50,0.001,ADAM,5348.0,0.9983,0.0045,0.9375,0.4481,0.948347,
xception,8348,False,,All,30,50,0.001,ADAM,3925.0,0.968,0.3431,0.9688,0.4902,0.948347,
